date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:11	855/855	---MCZ	200	added ('OK')	text/plain	date:Sun,%2006%20Sep%202026%2001:35:06%20GMT	https://doomsdale.com/robots.txt		(from )
08:35:11	51827/51827	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202026%2001:35:06%20GMT	https://doomsdale.com/	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/index.html	(from )
08:35:11	38899/38899	---MCZ	200	added ('OK')	text/css	etag:W/%221059daba59836e0edf3c66c74142ef40%22	https://doomsdale.com/_next/static/css/index.j8LkJGDc.css	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/css/index.j8LkJGDc.css	(from https://doomsdale.com/)
08:35:12	13999/13999	---MCZ	200	added ('OK')	text/css	etag:W/%22acdaa17aeb311ded7c7519085f9c73ea%22	https://doomsdale.com/_next/static/css/customizable-clock-experience.D2mo7x9U.css	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/css/customizable-clock-experience.D2mo7x9U.css	(from https://doomsdale.com/)
08:35:12	108896/108896	---MCZ	200	added ('OK')	application/javascript	etag:W/%22320b28b265f663ead5a10b84b5db2bd5%22	https://doomsdale.com/_next/static/chunks/index-BHYMNYaX.js	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/chunks/index-BHYMNYaX.js	(from https://doomsdale.com/)
08:35:12	716/716	---MCZ	200	added ('OK')	application/javascript	etag:W/%220f6eca5621950b28b62c0293c982ef78%22	https://doomsdale.com/_next/static/chunks/rolldown-runtime-hePW80VL.js	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/chunks/rolldown-runtime-hePW80VL.js	(from https://doomsdale.com/)
08:35:12	190109/190109	---MCZ	200	added ('OK')	application/javascript	etag:W/%22666b6f7c295f665b04583d1f0112ab31%22	https://doomsdale.com/_next/static/chunks/framework-DTZGTDtF.js	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/chunks/framework-DTZGTDtF.js	(from https://doomsdale.com/)
08:35:12	111711/111711	---MCZ	200	added ('OK')	application/javascript	etag:W/%221337200bf8fdfa52f0fc64286e1e0052%22	https://doomsdale.com/_next/static/chunks/vinext-C3tK8EEC.js	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/chunks/vinext-C3tK8EEC.js	(from https://doomsdale.com/)
08:35:13	496/496	---MCZ	200	added ('OK')	application/javascript	etag:W/%224bb81134f422bc5cd19208ce97beebb0%22	https://doomsdale.com/_next/static/chunks/layout-segment-context-D7tEF4yj.js	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/chunks/layout-segment-context-D7tEF4yj.js	(from https://doomsdale.com/)
08:35:13	340677/340677	---MCZ	200	added ('OK')	application/javascript	etag:W/%228cead8cea7816a594365b28945c56b01%22	https://doomsdale.com/_next/static/chunks/customizable-clock-experience-5uxgQsLv.js	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/chunks/customizable-clock-experience-5uxgQsLv.js	(from https://doomsdale.com/)
08:35:13	559419/559419	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a8f6a1680925b7d87f359b1acc2c39e%22	https://doomsdale.com/_next/static/chunks/run-cleanups-CWvul6tS.js	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/chunks/run-cleanups-CWvul6tS.js	(from https://doomsdale.com/)
08:35:13	17542/17542	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22e19c3ab54d47ee56cf2e1acae622a36f%22	https://doomsdale.com/favicon.ico	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/favicon.ico	(from https://doomsdale.com/)
08:35:14	2191/2191	---M--	200	added ('OK')	image/png	etag:%2209618da9d320614404b4fcc604095ba0%22	https://doomsdale.com/favicon-32x32.png	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/favicon-32x32.png	(from https://doomsdale.com/)
08:35:14	26533/26533	---M--	200	added ('OK')	image/png	etag:%227812d7cd040bc0beade19886a014927a%22	https://doomsdale.com/apple-touch-icon.png	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/apple-touch-icon.png	(from https://doomsdale.com/)
08:35:14	18612/18612	---M--	200	added ('OK')	font/woff2	etag:%222a2bd7cd5c5b395721e5975dea82d7d0%22	https://doomsdale.com/_next/static/media/anton-latin-400.Byf51wtH.woff2	C:/laragon/www/Intelecta/Refrence/Dale/doomsdale.com/_next/static/media/anton-latin-400.Byf51wtH.woff2	(from https://doomsdale.com/)
