date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:19	870/870	---MCZ	200	added ('OK')	text/plain	date:Sun,%2006%20Sep%202026%2010:51:19%20GMT	https://specia1ne.com/robots.txt		(from )
17:51:19	41058/41058	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2014:11:49%20GMT	https://specia1ne.com/	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/index.html	(from )
17:51:19	12956/12956	---M--	200	added ('OK')	font/woff2	etag:%226a6a0a24-329c%22	https://specia1ne.com/fonts/geist/geist-regular.woff2	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/fonts/geist/geist-regular.woff2	(from https://specia1ne.com/)
17:51:19	13364/13364	---M--	200	added ('OK')	font/woff2	etag:%226a6a0a24-3434%22	https://specia1ne.com/fonts/geist/geist-700.woff2	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/fonts/geist/geist-700.woff2	(from https://specia1ne.com/)
17:51:20	9864/9864	---M--	200	added ('OK')	font/woff2	etag:%226a6a0a25-2688%22	https://specia1ne.com/fonts/geist-mono/geist-mono-regular.woff2	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/fonts/geist-mono/geist-mono-regular.woff2	(from https://specia1ne.com/)
17:51:20	214/214	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226a6a0a24-d6%22	https://specia1ne.com/favicons/favicon.svg	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/favicons/favicon.svg	(from https://specia1ne.com/)
17:51:20	285/285	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226a6a0a24-11d%22	https://specia1ne.com/favicon.ico	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/favicon.ico	(from https://specia1ne.com/)
17:51:20	263/263	---M--	200	added ('OK')	image/png	etag:%226a6a0a24-107%22	https://specia1ne.com/favicons/favicon-32.png	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/favicons/favicon-32.png	(from https://specia1ne.com/)
17:51:20	1812/1812	---M--	200	added ('OK')	image/png	etag:%226a6a0a24-714%22	https://specia1ne.com/favicons/apple-touch-icon.png	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/favicons/apple-touch-icon.png	(from https://specia1ne.com/)
17:51:21	174/174	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226a6a0a24-ae%22	https://specia1ne.com/favicons/safari-pinned-tab.svg	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/favicons/safari-pinned-tab.svg	(from https://specia1ne.com/)
17:51:21	135945/135945	---MCZ	200	added ('OK')	text/css	etag:W/%226a6a0a23-21309%22	https://specia1ne.com/_astro/global.yPMqHDAu.css	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/_astro/global.yPMqHDAu.css	(from https://specia1ne.com/)
17:51:22	10122/10122	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a6a0a25-278a%22	https://specia1ne.com/scripts/reveal.js?v=2026-07-06-2	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/scripts/revealcc5a.js	(from https://specia1ne.com/)
17:51:22	26653/26653	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2014:11:49%20GMT	https://specia1ne.com/privacy/	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/privacy/index.html	(from https://specia1ne.com/)
17:51:22	24449/24449	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2014:11:49%20GMT	https://specia1ne.com/terms/	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/terms/index.html	(from https://specia1ne.com/)
17:51:23	45922/45922	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a6a0a25-b362%22	https://specia1ne.com/scripts/site-overlay.js?v=2026-07-06-2	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/scripts/site-overlaycc5a.js	(from https://specia1ne.com/)
17:51:23	19447/19447	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a6a0a25-4bf7%22	https://specia1ne.com/scripts/contact-form.js?v=2026-07-06-2	C:/laragon/www/Intelecta/Refrence/Speci1ne/specia1ne.com/scripts/contact-formcc5a.js	(from https://specia1ne.com/)
